IDX,URL,Type,Time,Shape,Duration,Venue,Active,Note
020,http://platform.share.scea.com/fortune/fortune.php,F,B,4,0,0,y,
60,http://wiki.ship.scea.com/confluence/display/TNTACTIVITY/Cube+Utopia,F,B,4,0,0,y,
80,http://www.zerocater.com/sony/,F,A,4,0,0,y,
100,http://technewstube.com/site/ars-technica/,F,B,4,0,0,y,
120,http://wiki.ship.scea.com/confluence/display/TNTACTIVITY/TNT+Bocce+Ball,F,B,4,0,0,y,
140,http://platform.share.scea.com/wallboard/yourpage.html,F,B,4,0,0,n,
160,http://wiki.ship.scea.com/confluence/display/WWSNEWS/Home,F,B,4,0,0,y,
200,http://www.wunderground.com/cgi-bin/findweather/hdfForecast?query=foster+city%2Cca,F,B,4,0,0,y,
220,http://www.sfbaytraffic.info/,F,P,4,0,0,y,
240,http://slashdot.org/,F,B,4,0,0,y,
260,http://wiki.ship.scea.com/confluence/pages/viewpage.action?pageId=101156056,F,B,4,0,0,y,
280,http://wiki.ship.scea.com/confluence/display/MANPOWERREPORT/Manpower+Completion+Report,F,B,4,0,0,N,
300,http://platform.share.scea.com/funnypix/funnypix.php,F,B,4,0,0,y,
999,http://platform.share.scea.com/xkcd/xkcd.php,F,A,4,0,0,y,
