IDX,URL,Type,Time,Shape,Duration,Venue,Active,Note
001,http://platform.share.scea.com/wallboard1/yourpage.html,F,A,1,0,2,N,
002,http://platform.share.scea.com/wallboard1/yourpage.html,F,A,1,0,3,N,
003,http://platform.share.scea.com/wallboard1/yourpage.html,F,A,1,0,4,N,
004,http://platform.share.scea.com/wallboard1/yourpage.html,F,P,1,0,1,N,
005,http://platform.share.scea.com/wallboard1/yourpage.html,F,P,1,0,2,N,
006,http://platform.share.scea.com/wallboard1/yourpage.html,F,P,1,0,3,N,
007,http://platform.share.scea.com/wallboard1/yourpage.html,F,P,1,0,4,N,
008,http://platform.share.scea.com/wallboard1/yourpage.html,S,A,1,0,1,N,
009,http://platform.share.scea.com/wallboard1/yourpage.html,S,A,1,0,2,N,
010,http://platform.share.scea.com/wallboard1/yourpage.html,F,A,1,0,0,Y,
011,http://platform.share.scea.com/wallboard1/yourpage.html,S,A,1,0,4,N,
012,http://platform.share.scea.com/wallboard1/yourpage.html,S,P,1,0,1,N,
013,http://platform.share.scea.com/wallboard1/yourpage.html,S,P,1,0,2,N,
014,http://platform.share.scea.com/wallboard1/yourpage.html,F,P,1,0,0,Y,
015,http://platform.share.scea.com/wallboard1/yourpage.html,S,P,1,0,4,N,
016,http://platform.share.scea.com/wallboard1/yourpage.html,F,A,1,0,1,N,
017,http://platform.share.scea.com/wallboard1/yourpage.html,S,A,1,0,0,N,
018,http://platform.share.scea.com/wallboard1/yourpage.html,S,A,1,0,3,N,
019,http://platform.share.scea.com/wallboard1/yourpage.html,S,P,1,0,0,N,
020,http://platform.share.scea.com/wallboard1/yourpage.html,S,P,1,0,3,N,
021,http://wiki.ship.scea.com/confluence/display/TNTACTIVITY/Cube+Utopia,F,B,3,0,0,N,
022,http://www.zerocater.com/sony/,F,A,3,0,0,N,
023,http://www.wunderground.com/cgi-bin/findweather/hdfForecast?query=foster+city%2Cca,F,B,3,0,0,N,
024,http://www.sfbaytraffic.info/,F,P,3,951,0,N,Interesting... 025,http://slashdot.org/,F,B,4,0,0,N,
026,http://wiki.ship.scea.com/confluence/pages/viewpage.action?pageId=101156056,F,B,3,0,0,N,
027,http://wiki.ship.scea.com/confluence/display/MANPOWERREPORT/Manpower+Completion+Report,F,B,4,0,0,N,
028,http://technewstube.com/site/ars-technica/,F,B,3,0,0,N,
029,http://wiki.ship.scea.com/confluence/display/TNTACTIVITY/TNT+Bocce+Ball,F,B,3,0,0,N,
030,http://platform.share.scea.com/wallboard1/yourpage.html,F,B,1,0,0,N,
031,http://wiki.ship.scea.com/confluence/display/WWSNEWS/Home,F,B,3,0,0,N,
032,http://platform.share.scea.com/wallboard1/yourpage.html,F,B,1,0,0,N,
033,http://localhost/wallboard/xkcd.php,F,A,3,0,0,N,
034,http://localhost/wallboard/fortune.php,F,B,1,0,0,N,
035,http://bamboo1.ship.scea.com/bamboo/start.action?selectedTab=currentTab,S,B,4,0,0,N,
036,http://bamboo1.ship.scea.com/bamboo/plugins/servlet/streams,S,B,2,0,0,N,
037,http://bamboo1.ship.scea.com/bamboo/start.action?selectedTab=allPlansTab,S,B,2,0,0,N,
038,http://bamboo1.ship.scea.com/bamboo/rss/createAllBuildsRssFeed.action?feedType=rssFailed&os_authType=basic,S,A,2,0,0,N,
039,www.mtv.com,S,A,4,360,0,Y,I was changed! 
